2021-05-20T15:36:07,467 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=6), name=Mara, age=20, gender=female) 
2021-05-20T15:36:07,480 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T15:36:07,487 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T15:36:07,489 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T15:36:26,606 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=6), name=Mara, age=20, gender=female) 
2021-05-20T15:36:26,618 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T15:36:26,623 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T15:36:26,626 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T15:36:53,139 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=6), name=Mara, age=20, gender=female) 
2021-05-20T15:36:53,155 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T15:36:53,158 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T15:36:53,159 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T15:38:09,366 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female) 
2021-05-20T15:38:09,375 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T15:38:09,378 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T15:38:09,379 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T15:39:00,755 TRACE [Test worker]: DirectorController                   - > deleteDirector - method entered. id = 3 
2021-05-20T15:39:00,847 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T15:39:00,848 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T15:39:01,124 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female) 
2021-05-20T15:39:01,125 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T15:39:01,126 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T15:39:01,127 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T15:39:01,206 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T15:39:01,207 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T15:42:45,709 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=6), name=Mara, age=20, gender=female) 
2021-05-20T15:42:45,719 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T15:42:45,722 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T15:42:45,723 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T15:43:40,727 TRACE [Test worker]: DirectorController                   - > deleteDirector - method entered. id = 3 
2021-05-20T15:43:40,840 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T15:43:40,842 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T15:43:41,071 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=6), name=Mara, age=20, gender=female) 
2021-05-20T15:43:41,071 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T15:43:41,072 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T15:43:41,073 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T15:43:41,125 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T15:43:41,126 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T15:44:32,739 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=6), name=Mara, age=20, gender=female) 
2021-05-20T15:44:32,751 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T15:44:32,755 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T15:44:32,757 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
